,officialPosition,displayName,team,time_to_pass,%ofPositivePlays,ppg,OL_speed_mean,OL_acceleration_mean,%ofNegativePlays,nflId_y,expectedPctOfNegPlays
206,T,Calvin Throckmorton,NO,2.823943661971831,0.8943661971830986,25.142857142857142,1.858732394366197,1.3269718309859155,0.1056338028169014,52666.0,0.09015546265764811
209,T,Billy Turner,GB,2.608294930875576,0.8663594470046083,24.0,2.3400921658986173,1.6549308755760368,0.1336405529953917,41296.0,0.11563864725646862
213,T,Royce Newman,GB,2.608294930875576,0.9124423963133641,24.0,2.170967741935484,1.3419815668202764,0.08755760368663594,53571.0,0.07592757991939117
216,T,Nate Solder,NYG,2.454901960784314,0.8431372549019608,19.5,2.596705882352941,1.7565098039215687,0.1568627450980392,37090.0,0.12624128542969146
227,T,Bobby Massie,DEN,2.697841726618705,0.8812949640287769,19.625,2.037841726618705,1.5712230215827339,0.11870503597122302,38642.0,0.1023308962926826
229,T,Garett Bolles,DEN,2.6988847583643123,0.9070631970260223,19.625,1.8628624535315985,1.5881412639405204,0.09293680297397769,44832.0,0.08045112985217176
235,T,Jason Peters,CHI,2.634020618556701,0.8917525773195876,15.375,1.9658247422680413,1.578814432989691,0.10824742268041238,29550.0,0.09325386265554529
244,T,Andrew Whitworth,LA,2.5071090047393363,0.9146919431279621,30.625,2.22,1.5602369668246445,0.08530805687203792,30869.0,0.07347504868197295
245,T,Rob Havenstein,LA,2.475206611570248,0.9008264462809917,30.625,2.296404958677686,1.6421900826446283,0.09917355371900827,42400.0,0.08359965729246098
254,T,Kolton Miller,LV,2.4823529411764707,0.9215686274509804,25.714285714285715,2.0679607843137258,1.716705882352941,0.0784313725490196,46084.0,0.06749525962679462
257,T,Alex Leatherwood,LV,2.4957264957264957,0.7649572649572649,25.714285714285715,1.9717948717948717,1.5851709401709402,0.23504273504273504,53446.0,0.2026594294220257
262,T,Alejandro Villanueva,BAL,2.936651583710407,0.8144796380090498,26.714285714285715,2.1244343891402715,1.78579185520362,0.18552036199095023,41222.0,0.15566858105396517
